Content,EventId,EventTemplate
instruction cache parity error corrected,101,instruction cache parity error corrected
63543 double-hummer alignment exceptions,4,<*> double-hummer alignment exceptions
"CE sym 2, at 0x0b85eee0, mask 0x05",43,CE sym <*> at <*> mask <*>
ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,40,ciod: failed to read message prefix on control stream (CioStream socket to <*>
generating core.2275,47,generating <*>
force load/store alignment...............0,52,force load/store <*>
ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,55,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>
ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,81,ciod: LOGIN <*> failed: No such file or directory
"1 ddr errors(s) detected and corrected on rank 0, symbol 25, bit 1",29,<*> ddr errors(s) detected and corrected on rank <*> symbol <*> bit <*>
data TLB error interrupt,91,data TLB error interrupt
ciod: Message code 0 is not 51 or 4294967295,12,ciod: Message code <*> is not <*> or <*>
data storage interrupt,58,data storage interrupt
instruction address: 0x00004ed8,14,instruction address: <*>
data address: 0x00000002,54,data address: <*>
machine check: i-fetch......................0,36,machine check: <*>
program interrupt: illegal instruction......0,11,program interrupt: illegal <*>
exception syndrome register: 0x00800000,6,exception syndrome register: <*>
data store interrupt caused by dcbf.........0,35,data store interrupt caused by <*>
store operation.............................1,90,store <*>
machine state register: 0x00002000,51,machine state register: <*>
"problem state (0=sup,1=usr).......0",34,problem state <*>
floating point instr. enabled.....1,77,floating point instr. <*>
auxiliary processor.........................0,26,auxiliary <*>
machine check enable..............0,87,machine check <*>
floating pt ex mode 0 enable......0,48,floating pt ex mode <*>
debug interrupt enable............0,82,debug interrupt <*>
byte ordering exception.....................0,9,byte ordering <*>
data address space................0,97,data address <*>
core configuration register: 0x00002000,1,core configuration register: <*>
program interrupt: fp cr update.............0,24,program interrupt: fp cr <*>
guaranteed instruction cache block touch.0,18,guaranteed instruction cache block <*>
program interrupt: fp cr field .............0,30,program interrupt: fp cr field <*>
icache prefetch depth....................0,61,icache prefetch <*>
wait state enable.................0,42,wait state <*>
critical input interrupt enable...0,69,critical input interrupt <*>
special purpose registers:,8,special purpose registers:
lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,89,<*>
rts internal error,39,rts internal error
debug wait enable.................0,15,debug wait <*>
instruction address space.........0,16,instruction address <*>
disable store gathering..................0,80,disable store <*>
total of 1 ddr error(s) detected and corrected,86,total of <*> ddr error(s) detected and corrected
"ciod: Error loading /home/draeger/testQboxhang-nozerobytebug-nosleepyescomm: invalid or missing program image, No such file or directory",83,"ciod: Error loading <*> invalid or missing program image, No such file or directory"
ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes,73,ciod: Error creating node map from file <*> No child processes
program interrupt,37,program interrupt
Node card is not fully functional,13,Node card is not fully functional
Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip=10.0.0.151 v=9 t=4 status=M Fri Jul 01 08:16:53 PDT 2005,5,Ido chip status changed: <*> status=M Fri Jul <*> PDT <*>
Can not get assembly information for node card,70,Can not get assembly information for node card
ciod: Missing or invalid fields on line 1 of node map file /home/auselton/bgl/64mps.sequential.mapfile,44,ciod: Missing or invalid fields on line <*> of node map file <*>
1 torus receiver z+ input pipe error(s) (dcr 0x02f0) detected and corrected,95,<*> torus receiver z+ input pipe error(s) (dcr <*> detected and corrected
ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,28,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file <*>
rts panic! - stopping execution,85,rts panic! - stopping execution
ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,56,ciod: Error creating node map from file <*> Permission denied
ciod: Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,96,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file <*>
